id,firstname,lastname,email,field Name,field Name,attendance
24,Fidelia,Nadia,Fidelia.Nadia@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
25,Rosanne,Kenney,Rosanne.Kenney@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
26,Claresta,Rudolph,Claresta.Rudolph@yopmail.com,First Year,PlaceholderStudentImage.png,Present
27,Roxane,Edvard,Roxane.Edvard@yopmail.com,First Year,PlaceholderStudentImage.png,Present
28,Vevay,Suanne,Vevay.Suanne@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
29,Xylina,Pulsifer,Xylina.Pulsifer@yopmail.com,First Year,PlaceholderStudentImage.png,Present
30,Ellette,Lipson,Ellette.Lipson@yopmail.com,First Year,PlaceholderStudentImage.png,Present
31,Katharina,Westphal,Katharina.Westphal@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
32,June,Linskey,June.Linskey@yopmail.com,First Year,PlaceholderStudentImage.png,Present
33,Sheree,Eliathas,Sheree.Eliathas@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
34,Annaliese,Lissi,Annaliese.Lissi@yopmail.com,First Year,PlaceholderStudentImage.png,Present
35,Aubrie,Niles,Aubrie.Niles@yopmail.com,First Year,PlaceholderStudentImage.png,Present
36,Latisha,Weide,Latisha.Weide@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
37,Gilligan,Ashely,Gilligan.Ashely@yopmail.com,First Year,PlaceholderStudentImage.png,Present
38,Ana,Albertine,Ana.Albertine@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
39,Fanchon,Wittie,Fanchon.Wittie@yopmail.com,First Year,PlaceholderStudentImage.png,Present
40,Deedee,Vanni,Deedee.Vanni@yopmail.com,First Year,PlaceholderStudentImage.png,Present
41,Beth,Brieta,Beth.Brieta@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
42,Clary,Penelopa,Clary.Penelopa@yopmail.com,First Year,PlaceholderStudentImage.png,Present
43,Tina,Nisbet,Tina.Nisbet@yopmail.com,First Year,PlaceholderStudentImage.png,Present
44,Molli,Kathie,Molli.Kathie@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
45,Gui,Kosey,Gui.Kosey@yopmail.com,First Year,PlaceholderStudentImage.png,Present
46,Brietta,Marcellus,Brietta.Marcellus@yopmail.com,First Year,PlaceholderStudentImage.png,Present
47,Bill,Iiette,Bill.Iiette@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
48,Evita,Allare,Evita.Allare@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
49,Kittie,Jenness,Kittie.Jenness@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
50,Ninnetta,Sammons,Ninnetta.Sammons@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
51,Xylina,Woodberry,Xylina.Woodberry@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
52,Maye,Dosia,Maye.Dosia@yopmail.com,First Year,PlaceholderStudentImage.png,Present
53,Heida,Bury,Heida.Bury@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
54,Gabriellia,Jorgan,Gabriellia.Jorgan@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
55,Mara,Delacourt,Mara.Delacourt@yopmail.com,First Year,PlaceholderStudentImage.png,Present
56,Tomasina,Brian,Tomasina.Brian@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
57,Dolli,Gert,Dolli.Gert@yopmail.com,First Year,PlaceholderStudentImage.png,Present
58,Grier,Thad,Grier.Thad@yopmail.com,First Year,PlaceholderStudentImage.png,Present
59,Charissa,Concha,Charissa.Concha@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
60,Leona,Rhu,Leona.Rhu@yopmail.com,First Year,PlaceholderStudentImage.png,Present
61,Jemie,Sherfield,Jemie.Sherfield@yopmail.com,First Year,PlaceholderStudentImage.png,Present
62,Alex,Barrus,Alex.Barrus@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
63,Deirdre,Pyle,Deirdre.Pyle@yopmail.com,First Year,PlaceholderStudentImage.png,Present
64,Cristabel,Bohlin,Cristabel.Bohlin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
65,Vonny,Ashely,Vonny.Ashely@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
66,Johna,Stoller,Johna.Stoller@yopmail.com,First Year,PlaceholderStudentImage.png,Present
67,Quintina,Taam,Quintina.Taam@yopmail.com,First Year,PlaceholderStudentImage.png,Present
68,Fernande,Pacorro,Fernande.Pacorro@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
69,Marguerite,Franza,Marguerite.Franza@yopmail.com,First Year,PlaceholderStudentImage.png,Present
70,Claudina,Erlandson,Claudina.Erlandson@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
71,Darci,Glenden,Darci.Glenden@yopmail.com,First Year,PlaceholderStudentImage.png,Present
72,Nerta,Avi,Nerta.Avi@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
73,Binny,Erb,Binny.Erb@yopmail.com,First Year,PlaceholderStudentImage.png,Present
74,Adriana,Schonfeld,Adriana.Schonfeld@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
75,Fidelia,Flita,Fidelia.Flita@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
76,Danika,Wildermuth,Danika.Wildermuth@yopmail.com,First Year,PlaceholderStudentImage.png,Present
77,Shannah,Dex,Shannah.Dex@yopmail.com,First Year,PlaceholderStudentImage.png,Present
78,Elora,Harl,Elora.Harl@yopmail.com,First Year,PlaceholderStudentImage.png,Present
79,Laure,Kronfeld,Laure.Kronfeld@yopmail.com,First Year,PlaceholderStudentImage.png,Present
80,Jordan,Strephon,Jordan.Strephon@yopmail.com,First Year,PlaceholderStudentImage.png,Present
81,Aaren,Toni,Aaren.Toni@yopmail.com,First Year,PlaceholderStudentImage.png,Present
82,Rebeca,Buttaro,Rebeca.Buttaro@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
83,Tracey,Ardeha,Tracey.Ardeha@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
84,Ebonee,Regan,Ebonee.Regan@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
85,Joane,Carlson,Joane.Carlson@yopmail.com,First Year,PlaceholderStudentImage.png,Present
86,Carilyn,Durante,Carilyn.Durante@yopmail.com,First Year,PlaceholderStudentImage.png,Present
87,Taffy,Leary,Taffy.Leary@yopmail.com,First Year,PlaceholderStudentImage.png,Present
88,Catrina,Ilka,Catrina.Ilka@yopmail.com,First Year,PlaceholderStudentImage.png,Present
89,Marcy,Francyne,Marcy.Francyne@yopmail.com,First Year,PlaceholderStudentImage.png,Present
90,Cathyleen,Vale,Cathyleen.Vale@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
91,Shaine,Sacken,Shaine.Sacken@yopmail.com,First Year,PlaceholderStudentImage.png,Present
92,Jillayne,Zola,Jillayne.Zola@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
93,Shannah,Martsen,Shannah.Martsen@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
94,Aeriela,Isacco,Aeriela.Isacco@yopmail.com,First Year,PlaceholderStudentImage.png,Present
95,Farrah,Cavan,Farrah.Cavan@yopmail.com,First Year,PlaceholderStudentImage.png,Present
96,Susette,Knowling,Susette.Knowling@yopmail.com,First Year,PlaceholderStudentImage.png,Present
97,Tobe,Orpah,Tobe.Orpah@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
98,Reeba,Alrich,Reeba.Alrich@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
99,Lulita,Bibi,Lulita.Bibi@yopmail.com,First Year,PlaceholderStudentImage.png,Present
100,Gianina,Clywd,Gianina.Clywd@yopmail.com,First Year,PlaceholderStudentImage.png,Present
101,Ira,Donoghue,Ira.Donoghue@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
102,Vivia,Carey,Vivia.Carey@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
103,Maisey,Mandler,Maisey.Mandler@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
104,Correy,Mathilde,Correy.Mathilde@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
105,Selia,Pillsbury,Selia.Pillsbury@yopmail.com,First Year,PlaceholderStudentImage.png,Present
106,Teddie,Maples,Teddie.Maples@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
107,Nickie,Shanley,Nickie.Shanley@yopmail.com,First Year,PlaceholderStudentImage.png,Present
108,Clo,Zitvaa,Clo.Zitvaa@yopmail.com,First Year,PlaceholderStudentImage.png,Present
109,Concettina,Sasnett,Concettina.Sasnett@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
110,Pollyanna,Cohdwell,Pollyanna.Cohdwell@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
111,Yvonne,Cornelia,Yvonne.Cornelia@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
112,Maryellen,Manolo,Maryellen.Manolo@yopmail.com,First Year,PlaceholderStudentImage.png,Present
113,Ermengarde,Gilmour,Ermengarde.Gilmour@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
114,Elyssa,Lissi,Elyssa.Lissi@yopmail.com,First Year,PlaceholderStudentImage.png,Present
115,Jackie,Zetta,Jackie.Zetta@yopmail.com,First Year,PlaceholderStudentImage.png,Present
116,Ricky,Seagraves,Ricky.Seagraves@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
117,Maurene,Bethany,Maurene.Bethany@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
118,Luci,Tybald,Luci.Tybald@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
119,Regina,Grimbly,Regina.Grimbly@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
120,Ada,Kathie,Ada.Kathie@yopmail.com,First Year,PlaceholderStudentImage.png,Present
121,Kaia,Claudine,Kaia.Claudine@yopmail.com,First Year,PlaceholderStudentImage.png,Present
122,Sadie,Croix,Sadie.Croix@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
123,Renae,Mathilde,Renae.Mathilde@yopmail.com,First Year,PlaceholderStudentImage.png,Present
124,Candi,Olin,Candi.Olin@yopmail.com,First Year,PlaceholderStudentImage.png,Present
125,Hermione,Annabella,Hermione.Annabella@yopmail.com,First Year,PlaceholderStudentImage.png,Present
126,Wynne,Dorothy,Wynne.Dorothy@yopmail.com,First Year,PlaceholderStudentImage.png,Present
127,Emylee,Gualtiero,Emylee.Gualtiero@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
128,Mary,Berriman,Mary.Berriman@yopmail.com,First Year,PlaceholderStudentImage.png,Present
129,Peri,Douglass,Peri.Douglass@yopmail.com,First Year,PlaceholderStudentImage.png,Present
130,Daryl,Earlie,Daryl.Earlie@yopmail.com,First Year,PlaceholderStudentImage.png,Present
131,Camile,Freddi,Camile.Freddi@yopmail.com,First Year,PlaceholderStudentImage.png,Present
132,Madalyn,Gahl,Madalyn.Gahl@yopmail.com,First Year,PlaceholderStudentImage.png,Present
133,Danika,Yorick,Danika.Yorick@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
134,Sandie,Merriott,Sandie.Merriott@yopmail.com,First Year,PlaceholderStudentImage.png,Present
135,Sibella,Pascia,Sibella.Pascia@yopmail.com,First Year,PlaceholderStudentImage.png,Present
136,Florie,Arquit,Florie.Arquit@yopmail.com,First Year,PlaceholderStudentImage.png,Present
137,Jean,Tengdin,Jean.Tengdin@yopmail.com,First Year,PlaceholderStudentImage.png,Present
138,Beth,Belldas,Beth.Belldas@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
139,Dione,Henebry,Dione.Henebry@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
140,Helena,Alabaster,Helena.Alabaster@yopmail.com,First Year,PlaceholderStudentImage.png,Present
141,Margalo,Ehrman,Margalo.Ehrman@yopmail.com,First Year,PlaceholderStudentImage.png,Present
142,Dione,Johanna,Dione.Johanna@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
143,Petronia,Cullin,Petronia.Cullin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
144,Diena,Virgin,Diena.Virgin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
145,Willetta,Rillings,Willetta.Rillings@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
146,Ruthe,Lattie,Ruthe.Lattie@yopmail.com,First Year,PlaceholderStudentImage.png,Present
147,Hope,Anestassia,Hope.Anestassia@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
148,Gisela,Jerald,Gisela.Jerald@yopmail.com,First Year,PlaceholderStudentImage.png,Present
149,Emmey,Stover,Emmey.Stover@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
150,Gloria,My,Gloria.My@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
151,Carilyn,Pearse,Carilyn.Pearse@yopmail.com,First Year,PlaceholderStudentImage.png,Present
152,Aaren,Luhe,Aaren.Luhe@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
153,Etta,Podvin,Etta.Podvin@yopmail.com,First Year,PlaceholderStudentImage.png,Present
154,Asia,Judye,Asia.Judye@yopmail.com,First Year,PlaceholderStudentImage.png,Present
155,Sean,Ferrell,Sean.Ferrell@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
156,Emilia,Bohlin,Emilia.Bohlin@yopmail.com,First Year,PlaceholderStudentImage.png,Present
157,Farrah,Stephie,Farrah.Stephie@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
158,Hollie,Velick,Hollie.Velick@yopmail.com,First Year,PlaceholderStudentImage.png,Present
159,Tomasina,Carri,Tomasina.Carri@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
160,Asia,Alwin,Asia.Alwin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
161,Adriana,Sabella,Adriana.Sabella@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
162,Moyna,Revkah,Moyna.Revkah@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
163,Fidelia,Tjon,Fidelia.Tjon@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
164,Violet,Barbey,Violet.Barbey@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
165,Aili,Cullin,Aili.Cullin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
166,Lynea,Hortensia,Lynea.Hortensia@yopmail.com,First Year,PlaceholderStudentImage.png,Present
167,Vere,Chrystel,Vere.Chrystel@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
168,Ruthe,Alice,Ruthe.Alice@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
169,Andeee,Tound,Andeee.Tound@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
170,Jany,Carvey,Jany.Carvey@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
171,Ricky,Imelida,Ricky.Imelida@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
172,Sonni,Tyson,Sonni.Tyson@yopmail.com,First Year,PlaceholderStudentImage.png,Present
173,Marti,Joni,Marti.Joni@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
174,Imojean,Gaspard,Imojean.Gaspard@yopmail.com,First Year,PlaceholderStudentImage.png,Present
175,Lily,Bari,Lily.Bari@yopmail.com,First Year,PlaceholderStudentImage.png,Present
176,Riannon,Stacy,Riannon.Stacy@yopmail.com,First Year,PlaceholderStudentImage.png,Present
177,Brianna,Fosque,Brianna.Fosque@yopmail.com,First Year,PlaceholderStudentImage.png,Present
178,Lelah,Wittie,Lelah.Wittie@yopmail.com,First Year,PlaceholderStudentImage.png,Present
179,Consuela,Rustice,Consuela.Rustice@yopmail.com,First Year,PlaceholderStudentImage.png,Present
180,Nickie,Pillsbury,Nickie.Pillsbury@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
181,Correy,Amand,Correy.Amand@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
182,Gerrie,Dahlia,Gerrie.Dahlia@yopmail.com,First Year,PlaceholderStudentImage.png,Present
183,Veda,Sacken,Veda.Sacken@yopmail.com,First Year,PlaceholderStudentImage.png,Present
184,Viki,Morehouse,Viki.Morehouse@yopmail.com,First Year,PlaceholderStudentImage.png,Present
185,Nonnah,Aloise,Nonnah.Aloise@yopmail.com,First Year,PlaceholderStudentImage.png,Present
186,Eolanda,Schwejda,Eolanda.Schwejda@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
187,Madelle,Ader,Madelle.Ader@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
188,Vinita,Pond,Vinita.Pond@yopmail.com,First Year,PlaceholderStudentImage.png,Present
189,Atlanta,Gilbertson,Atlanta.Gilbertson@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
190,Brana,Yam,Brana.Yam@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
191,Wendi,Eldrid,Wendi.Eldrid@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
192,Karolina,Gilmour,Karolina.Gilmour@yopmail.com,First Year,PlaceholderStudentImage.png,Present
193,Johna,Vanni,Johna.Vanni@yopmail.com,First Year,PlaceholderStudentImage.png,Present
194,Roxane,Zrike,Roxane.Zrike@yopmail.com,First Year,PlaceholderStudentImage.png,Present
195,Goldie,Prober,Goldie.Prober@yopmail.com,First Year,PlaceholderStudentImage.png,Present
196,Sibella,Tryck,Sibella.Tryck@yopmail.com,First Year,PlaceholderStudentImage.png,Present
197,Gilda,Maurine,Gilda.Maurine@yopmail.com,First Year,PlaceholderStudentImage.png,Present
198,Petronia,Syd,Petronia.Syd@yopmail.com,First Year,PlaceholderStudentImage.png,Present
199,Brooks,Imelida,Brooks.Imelida@yopmail.com,First Year,PlaceholderStudentImage.png,Present
200,Lynnea,Parsaye,Lynnea.Parsaye@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
201,Catrina,Wenoa,Catrina.Wenoa@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
202,Isa,Noam,Isa.Noam@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
203,Doro,Llovera,Doro.Llovera@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
204,Sindee,Milde,Sindee.Milde@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
205,Camile,Milde,Camile.Milde@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
206,Imojean,Destinee,Imojean.Destinee@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
207,Agathe,Thilda,Agathe.Thilda@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
208,Pamella,Elo,Pamella.Elo@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
209,Alejandra,Garlinda,Alejandra.Garlinda@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
210,Dorothy,Bord,Dorothy.Bord@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
211,Jolyn,Hurley,Jolyn.Hurley@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
212,Janenna,Lauraine,Janenna.Lauraine@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
213,Ursulina,Pacorro,Ursulina.Pacorro@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
214,Tera,Kylander,Tera.Kylander@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
215,Courtnay,Ovid,Courtnay.Ovid@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
216,Wendi,Louanna,Wendi.Louanna@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
217,Tera,Cleavland,Tera.Cleavland@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
218,Yolane,Kristi,Yolane.Kristi@yopmail.com,First Year,PlaceholderStudentImage.png,Present
219,Melodie,Rubie,Melodie.Rubie@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
220,Lizzie,Kronfeld,Lizzie.Kronfeld@yopmail.com,First Year,PlaceholderStudentImage.png,Present
221,Kathi,Strephon,Kathi.Strephon@yopmail.com,First Year,PlaceholderStudentImage.png,Present
222,Molli,Vary,Molli.Vary@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
223,Randa,Brackely,Randa.Brackely@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
224,Julieta,Pauly,Julieta.Pauly@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
225,Max,Raychel,Max.Raychel@yopmail.com,First Year,PlaceholderStudentImage.png,Present
226,Selma,Revkah,Selma.Revkah@yopmail.com,First Year,PlaceholderStudentImage.png,Present
227,Carmencita,Mike,Carmencita.Mike@yopmail.com,First Year,PlaceholderStudentImage.png,Present
228,Moyna,Wolfgram,Moyna.Wolfgram@yopmail.com,First Year,PlaceholderStudentImage.png,Present
229,Elie,Robertson,Elie.Robertson@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
230,Giustina,Liebermann,Giustina.Liebermann@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
231,Jerry,Harned,Jerry.Harned@yopmail.com,First Year,PlaceholderStudentImage.png,Present
232,Catharine,Stover,Catharine.Stover@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
233,Nikki,August,Nikki.August@yopmail.com,First Year,PlaceholderStudentImage.png,Present
234,Leontine,Virgin,Leontine.Virgin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
235,Latisha,Merriott,Latisha.Merriott@yopmail.com,First Year,PlaceholderStudentImage.png,Present
236,Verla,Karylin,Verla.Karylin@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
237,Jerry,Georas,Jerry.Georas@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
238,Goldie,Dawkins,Goldie.Dawkins@yopmail.com,First Year,PlaceholderStudentImage.png,Present
239,Linzy,Wilkinson,Linzy.Wilkinson@yopmail.com,First Year,PlaceholderStudentImage.png,Present
240,Shandie,Drisko,Shandie.Drisko@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
241,Alyda,Raseda,Alyda.Raseda@yopmail.com,First Year,PlaceholderStudentImage.png,Present
242,Talya,Lattie,Talya.Lattie@yopmail.com,First Year,PlaceholderStudentImage.png,Present
243,Annaliese,Jehu,Annaliese.Jehu@yopmail.com,First Year,PlaceholderStudentImage.png,Present
244,Isa,Lunsford,Isa.Lunsford@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
245,Patricia,Sidonius,Patricia.Sidonius@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
246,Ana,Fax,Ana.Fax@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
247,Courtnay,Curren,Courtnay.Curren@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
248,Chandra,Herrera,Chandra.Herrera@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
249,Randa,Raseda,Randa.Raseda@yopmail.com,First Year,PlaceholderStudentImage.png,Present
250,Kassey,Nunci,Kassey.Nunci@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
