id,firstname,lastname,email,field Name,field Name,attendance
38,Kerrin,Whiffen,Kerrin.Whiffen@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
39,Joeann,Lea,Joeann.Lea@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
40,Robbi,Odysseus,Robbi.Odysseus@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
41,Marline,Ferino,Marline.Ferino@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
42,Maridel,Eckblad,Maridel.Eckblad@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
43,Dacia,Azeria,Dacia.Azeria@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
44,Alia,Keily,Alia.Keily@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
45,Kaja,Septima,Kaja.Septima@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
46,Sibella,Harned,Sibella.Harned@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
47,Quintina,Meli,Quintina.Meli@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
48,Valeda,Dermott,Valeda.Dermott@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
49,Calla,Duwalt,Calla.Duwalt@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
50,Carolina,Middleton,Carolina.Middleton@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
51,Sharlene,Sandye,Sharlene.Sandye@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
52,Mamie,Cath,Mamie.Cath@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
53,Lilith,Even,Lilith.Even@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
54,Louella,Cleavland,Louella.Cleavland@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
55,Gusty,Sheedy,Gusty.Sheedy@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
56,Ernesta,Schlosser,Ernesta.Schlosser@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
57,Dennie,Lesley,Dennie.Lesley@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
58,Constance,Shaddock,Constance.Shaddock@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
59,Janenna,Ellerey,Janenna.Ellerey@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
60,Lynnea,Weaks,Lynnea.Weaks@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
61,Amalie,Ovid,Amalie.Ovid@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
62,Janenna,Lymann,Janenna.Lymann@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
63,Phylis,Poll,Phylis.Poll@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
64,Verla,Redmond,Verla.Redmond@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
65,Lucy,Andrel,Lucy.Andrel@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
66,Roberta,Hailee,Roberta.Hailee@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
67,Dorthy,Palocz,Dorthy.Palocz@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
68,Molli,Pond,Molli.Pond@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
69,Jessy,Candy,Jessy.Candy@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
70,Katleen,Madelene,Katleen.Madelene@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
71,Petronia,Thornburg,Petronia.Thornburg@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
72,Sara-Ann,Fleeta,Sara-Ann.Fleeta@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
73,Esmeralda,Alcott,Esmeralda.Alcott@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
74,Suzette,Desai,Suzette.Desai@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
75,Annaliese,Cookie,Annaliese.Cookie@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
76,Ardenia,Connelly,Ardenia.Connelly@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
77,Mariele,Jarib,Mariele.Jarib@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
78,Oona,Hashim,Oona.Hashim@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
79,Aimil,Hewitt,Aimil.Hewitt@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
80,Sara-Ann,Donell,Sara-Ann.Donell@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
81,Raina,Buckler,Raina.Buckler@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
82,Moyna,Cassius,Moyna.Cassius@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
83,Ruthe,Millda,Ruthe.Millda@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
84,Kathy,Lissi,Kathy.Lissi@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
85,Beatriz,Kelula,Beatriz.Kelula@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
86,Valeda,Woodberry,Valeda.Woodberry@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
87,Willetta,Bergman,Willetta.Bergman@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
88,Fayre,Nore,Fayre.Nore@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
89,Aurelie,Sharl,Aurelie.Sharl@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
90,Jessy,Tacye,Jessy.Tacye@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
91,Nikki,Graig,Nikki.Graig@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
92,Doro,Timon,Doro.Timon@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
93,Halette,Neva,Halette.Neva@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
94,Willetta,Westphal,Willetta.Westphal@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
95,Lucy,Felizio,Lucy.Felizio@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
96,Lolita,Jacobah,Lolita.Jacobah@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
97,Valeda,Helfand,Valeda.Helfand@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
98,Nyssa,Gaynor,Nyssa.Gaynor@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
99,Emmey,Destinee,Emmey.Destinee@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
100,Olwen,Mandler,Olwen.Mandler@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
101,Etta,Desai,Etta.Desai@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
102,Elvira,Tryck,Elvira.Tryck@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
103,Sheree,Goddard,Sheree.Goddard@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
104,Chere,Fancie,Chere.Fancie@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
105,Calla,Ioab,Calla.Ioab@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
106,Genovera,Pauly,Genovera.Pauly@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
107,Annora,Dawkins,Annora.Dawkins@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
108,Queenie,Bandeen,Queenie.Bandeen@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
109,Sabina,Sadowski,Sabina.Sadowski@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
110,Pollyanna,Campball,Pollyanna.Campball@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
111,Hermione,Carlson,Hermione.Carlson@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
112,Sue,Noman,Sue.Noman@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
113,Cissiee,Norrie,Cissiee.Norrie@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
114,Edyth,Erskine,Edyth.Erskine@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
115,Ottilie,Leonard,Ottilie.Leonard@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
116,Candi,Ariella,Candi.Ariella@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
117,Christal,Jobi,Christal.Jobi@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
118,Maud,Thunell,Maud.Thunell@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
119,Vevay,Goerke,Vevay.Goerke@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
120,Brooks,Beebe,Brooks.Beebe@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
121,Angelique,Hieronymus,Angelique.Hieronymus@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
122,Kate,Burkle,Kate.Burkle@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
123,Karlee,Fitzsimmons,Karlee.Fitzsimmons@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
124,Charlena,Jefferey,Charlena.Jefferey@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
125,Caritta,Reneta,Caritta.Reneta@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
126,Berget,Drisko,Berget.Drisko@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
127,Sidoney,Maples,Sidoney.Maples@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
128,Corene,Drus,Corene.Drus@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
129,Lanna,Iaverne,Lanna.Iaverne@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
130,Katuscha,Rolf,Katuscha.Rolf@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
131,Lolita,Sherrie,Lolita.Sherrie@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
132,Gavrielle,Hanshaw,Gavrielle.Hanshaw@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
133,Donnie,Johanna,Donnie.Johanna@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
134,Theodora,Meli,Theodora.Meli@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
135,Clementine,Selway,Clementine.Selway@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
136,Stevana,Esmaria,Stevana.Esmaria@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
137,Orsola,Pitt,Orsola.Pitt@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
138,Rebeca,Dom,Rebeca.Dom@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
139,Arabel,Bakerman,Arabel.Bakerman@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
140,Jessamyn,Center,Jessamyn.Center@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
141,Atlanta,Maurine,Atlanta.Maurine@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
142,Laurene,Ciapas,Laurene.Ciapas@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
143,Dacia,Gherardo,Dacia.Gherardo@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
144,Fernande,Means,Fernande.Means@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
145,Katuscha,Carlson,Katuscha.Carlson@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
146,Sybille,Nedrud,Sybille.Nedrud@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
147,Lesly,Urias,Lesly.Urias@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
148,Roberta,Pozzy,Roberta.Pozzy@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
149,Inga,Dominy,Inga.Dominy@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
150,Marjie,Mathilde,Marjie.Mathilde@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
151,Danika,Orelee,Danika.Orelee@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
152,Georgina,Shields,Georgina.Shields@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
153,Betta,Karna,Betta.Karna@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
154,Tabbatha,Kress,Tabbatha.Kress@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
155,Mariann,Warthman,Mariann.Warthman@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
156,Malina,Callista,Malina.Callista@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
157,Mireielle,Wareing,Mireielle.Wareing@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
158,Amara,Ellerey,Amara.Ellerey@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
159,Ida,Buffum,Ida.Buffum@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
160,Jany,Rudolph,Jany.Rudolph@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
161,Lesly,Clara,Lesly.Clara@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
162,Carree,Nerita,Carree.Nerita@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
163,Ursulina,Meter,Ursulina.Meter@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
164,Rhea,Kinnard,Rhea.Kinnard@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
165,Paule,Catie,Paule.Catie@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
166,Valli,Craggie,Valli.Craggie@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
167,Ayn,Ellord,Ayn.Ellord@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
168,Kalina,Fredi,Kalina.Fredi@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
169,Etta,Nicoline,Etta.Nicoline@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
170,Marjie,Harned,Marjie.Harned@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
171,Janey,Mullane,Janey.Mullane@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
172,Selia,Philipp,Selia.Philipp@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
173,Joy,Adlare,Joy.Adlare@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
174,Hettie,Odysseus,Hettie.Odysseus@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
175,Lucille,Old,Lucille.Old@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
176,Noelle,Hermes,Noelle.Hermes@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
177,Rhea,Sibyls,Rhea.Sibyls@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
178,Rubie,Waldron,Rubie.Waldron@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
179,Willetta,Brieta,Willetta.Brieta@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
180,Berta,Thad,Berta.Thad@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
181,Carly,Danby,Carly.Danby@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
182,Laure,Audly,Laure.Audly@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
183,Sadie,Thornburg,Sadie.Thornburg@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
184,Elmira,Allina,Elmira.Allina@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
185,Reeba,Paton,Reeba.Paton@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
186,Clementine,Donoghue,Clementine.Donoghue@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
187,Cherrita,Burch,Cherrita.Burch@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
188,Fernande,Faria,Fernande.Faria@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
189,Aimil,Genna,Aimil.Genna@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
190,Ingrid,Truc,Ingrid.Truc@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
191,Fayre,Guthrie,Fayre.Guthrie@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
192,Britni,Susannah,Britni.Susannah@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
193,Fredericka,Judye,Fredericka.Judye@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
194,Renie,Gaspard,Renie.Gaspard@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
195,Nollie,Scammon,Nollie.Scammon@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
196,Lucille,Izaak,Lucille.Izaak@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
197,Ayn,Voletta,Ayn.Voletta@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
198,Alia,Shelba,Alia.Shelba@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
199,Jennica,Gaspard,Jennica.Gaspard@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
200,Arabel,Vary,Arabel.Vary@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
201,Hyacinthe,Faso,Hyacinthe.Faso@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
202,Mellicent,Concha,Mellicent.Concha@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
203,Robinia,Lorenz,Robinia.Lorenz@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
204,Correy,Goldina,Correy.Goldina@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
205,Minda,Vacuva,Minda.Vacuva@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
206,Raquela,Birdella,Raquela.Birdella@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
207,Shell,Deny,Shell.Deny@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
208,Latisha,Corrine,Latisha.Corrine@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
209,Pearline,Fontana,Pearline.Fontana@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
210,Camile,Boehike,Camile.Boehike@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
211,Ketti,Jenness,Ketti.Jenness@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
212,Pollyanna,Dimitris,Pollyanna.Dimitris@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
213,Oralee,Septima,Oralee.Septima@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
214,Zia,Kosey,Zia.Kosey@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
215,Hildegaard,Lunsford,Hildegaard.Lunsford@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
216,Albertina,Mendez,Albertina.Mendez@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
217,Anica,Argus,Anica.Argus@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
218,Heida,Hutchison,Heida.Hutchison@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
219,Elora,Pearse,Elora.Pearse@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
220,Mireielle,Orpah,Mireielle.Orpah@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
221,Collen,Berne,Collen.Berne@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
222,Sandie,Kristi,Sandie.Kristi@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
223,Averyl,Lareena,Averyl.Lareena@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
224,Viviene,Natalia,Viviene.Natalia@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
225,Deloria,Noam,Deloria.Noam@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
226,Lizzie,Dorothy,Lizzie.Dorothy@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
227,Karolina,Leler,Karolina.Leler@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
228,Lily,Swanhildas,Lily.Swanhildas@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
229,Elmira,Ariella,Elmira.Ariella@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
230,Linzy,MacIntosh,Linzy.MacIntosh@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
231,Aimil,Christal,Aimil.Christal@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
232,Tonia,Marsden,Tonia.Marsden@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
233,Leona,Stevy,Leona.Stevy@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
234,Corry,Guthrie,Corry.Guthrie@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
235,Chandra,O'Carroll,Chandra.O'Carroll@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
236,Gwyneth,Rurik,Gwyneth.Rurik@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
237,Lory,Smitt,Lory.Smitt@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
238,Eolanda,Suk,Eolanda.Suk@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
239,Katleen,Cyrie,Katleen.Cyrie@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
240,Arlina,Croix,Arlina.Croix@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
241,Charlena,Jerold,Charlena.Jerold@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
242,Perry,Naashom,Perry.Naashom@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
243,Gianina,Bach,Gianina.Bach@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
244,Binny,Alice,Binny.Alice@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
245,Liana,Delp,Liana.Delp@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
246,Elka,Verger,Elka.Verger@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
247,Corly,Fry,Corly.Fry@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
248,Althea,Payson,Althea.Payson@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
249,Dominga,Ajay,Dominga.Ajay@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
250,Hope,Bartlett,Hope.Bartlett@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
