firstname,lastname,email,Year,picture,Attendance
Roseline,Marden,Roseline.Marden@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sean,Corrine,Sean.Corrine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Cecile,Diann,Cecile.Diann@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lolita,Claudine,Lolita.Claudine@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Marguerite,Sharl,Marguerite.Sharl@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Priscilla,Jarib,Priscilla.Jarib@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Etta,Nedrud,Etta.Nedrud@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Chrystel,Boehike,Chrystel.Boehike@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Elbertina,Michella,Elbertina.Michella@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Talya,Baptlsta,Talya.Baptlsta@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Giustina,Cynar,Giustina.Cynar@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Mellicent,Rooney,Mellicent.Rooney@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lorne,Schroth,Lorne.Schroth@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Yetty,Zitvaa,Yetty.Zitvaa@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Abbie,Westphal,Abbie.Westphal@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Melina,Edmund,Melina.Edmund@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Meriel,Jaylene,Meriel.Jaylene@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Roz,Pulsifer,Roz.Pulsifer@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Maisey,Ajay,Maisey.Ajay@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Hollie,Alexandr,Hollie.Alexandr@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Carmencita,Bonucci,Carmencita.Bonucci@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Helena,Maxi,Helena.Maxi@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Pamella,McNully,Pamella.McNully@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Adore,Chauncey,Adore.Chauncey@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Rochette,Persse,Rochette.Persse@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Katuscha,Jacobah,Katuscha.Jacobah@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Brana,Croix,Brana.Croix@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Ronna,Amadas,Ronna.Amadas@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Lucille,Cloris,Lucille.Cloris@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Phedra,Ingra,Phedra.Ingra@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Karly,Zenas,Karly.Zenas@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Fredericka,Cavan,Fredericka.Cavan@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Chastity,Middleton,Chastity.Middleton@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Minda,Thornburg,Minda.Thornburg@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Shannah,Presber,Shannah.Presber@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Eadie,Pacorro,Eadie.Pacorro@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Agathe,Cecile,Agathe.Cecile@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Gwyneth,Pauly,Gwyneth.Pauly@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Ruthe,Tippets,Ruthe.Tippets@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lizzie,Haldas,Lizzie.Haldas@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Angelique,Loring,Angelique.Loring@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Vere,Ashok,Vere.Ashok@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Selma,Erlandson,Selma.Erlandson@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Mady,Krystle,Mady.Krystle@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Nickie,Earlie,Nickie.Earlie@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Roseline,Gino,Roseline.Gino@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Catharine,Delp,Catharine.Delp@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sandie,Christine,Sandie.Christine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Kathy,Gilbertson,Kathy.Gilbertson@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Shannah,Cosenza,Shannah.Cosenza@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Averyl,Claudine,Averyl.Claudine@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Priscilla,Barrus,Priscilla.Barrus@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Genovera,Krystle,Genovera.Krystle@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Gusty,Jacobah,Gusty.Jacobah@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Cyb,Caitlin,Cyb.Caitlin@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Pollyanna,Marden,Pollyanna.Marden@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Rhea,Love,Rhea.Love@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Helsa,Israeli,Helsa.Israeli@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Roslyn,Lay,Roslyn.Lay@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sybille,Malanie,Sybille.Malanie@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Elsie,Gert,Elsie.Gert@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Carmela,Vorster,Carmela.Vorster@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Romona,Marcellus,Romona.Marcellus@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Althea,Ade,Althea.Ade@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Annora,Faro,Annora.Faro@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Candi,Urania,Candi.Urania@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Nelle,Hachmin,Nelle.Hachmin@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Kara-Lynn,Noelyn,Kara-Lynn.Noelyn@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Krystle,Sidonius,Krystle.Sidonius@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Aeriela,Kussell,Aeriela.Kussell@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Fredericka,Hillel,Fredericka.Hillel@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Joleen,Rillings,Joleen.Rillings@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Atlanta,Hessler,Atlanta.Hessler@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Annora,Thomasina,Annora.Thomasina@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Paulita,Therine,Paulita.Therine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Eugine,Screens,Eugine.Screens@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Tobe,Newell,Tobe.Newell@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Alexine,Carbo,Alexine.Carbo@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Drucie,Desai,Drucie.Desai@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Celestyna,Swigart,Celestyna.Swigart@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Briney,Behre,Briney.Behre@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Allis,Creamer,Allis.Creamer@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Cristabel,Dex,Cristabel.Dex@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Larine,Cullin,Larine.Cullin@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sherrie,Land,Sherrie.Land@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Elfreda,Wu,Elfreda.Wu@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Georgina,Amethist,Georgina.Amethist@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Ardenia,Wareing,Ardenia.Wareing@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Eugine,Earlie,Eugine.Earlie@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Albertina,Daveta,Albertina.Daveta@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Florencia,Stoller,Florencia.Stoller@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Vevay,Whittaker,Vevay.Whittaker@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Willetta,Jehu,Willetta.Jehu@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Yvonne,Elvyn,Yvonne.Elvyn@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Ebonee,Dominy,Ebonee.Dominy@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lily,Lindemann,Lily.Lindemann@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Consuela,Tayib,Consuela.Tayib@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Susette,Beniamino,Susette.Beniamino@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Marika,Waite,Marika.Waite@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Donnie,Mallon,Donnie.Mallon@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Steffane,Valoniah,Steffane.Valoniah@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Celene,Darbie,Celene.Darbie@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Ketti,Brenn,Ketti.Brenn@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Laurene,Valoniah,Laurene.Valoniah@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Laure,Seligman,Laure.Seligman@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Dianemarie,Mitzi,Dianemarie.Mitzi@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Valera,Vastah,Valera.Vastah@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Amelia,Craggie,Amelia.Craggie@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Mahalia,Xerxes,Mahalia.Xerxes@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Reeba,Campball,Reeba.Campball@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Lisette,Saunderson,Lisette.Saunderson@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Daryl,Sawtelle,Daryl.Sawtelle@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Arabel,Cullin,Arabel.Cullin@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Consuela,Mintz,Consuela.Mintz@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Chastity,Gunn,Chastity.Gunn@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Nelle,Pettiford,Nelle.Pettiford@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Mignon,Ax,Mignon.Ax@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Addia,Poll,Addia.Poll@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Tersina,Eben,Tersina.Eben@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Carree,Sheng,Carree.Sheng@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Drucie,Goldina,Drucie.Goldina@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Kore,Screens,Kore.Screens@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Angela,Lymann,Angela.Lymann@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Kimberley,Grosz,Kimberley.Grosz@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Karina,Lytton,Karina.Lytton@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Sibella,Elephus,Sibella.Elephus@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Abbie,Uird,Abbie.Uird@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Letizia,Jefferey,Letizia.Jefferey@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Evita,Milde,Evita.Milde@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Dorothy,Cynar,Dorothy.Cynar@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Adelle,Dannye,Adelle.Dannye@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Hildegaard,Irmine,Hildegaard.Irmine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Gloria,Ogren,Gloria.Ogren@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Joleen,Pauly,Joleen.Pauly@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Blinni,Frendel,Blinni.Frendel@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Candy,Leopold,Candy.Leopold@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Zaria,Yate,Zaria.Yate@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sharai,Roxanna,Sharai.Roxanna@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Ann-Marie,Kylander,Ann-Marie.Kylander@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Kristan,Vastah,Kristan.Vastah@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Maud,Kermit,Maud.Kermit@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Aigneis,Klotz,Aigneis.Klotz@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Drucie,Izaak,Drucie.Izaak@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Ardeen,Blase,Ardeen.Blase@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Andeee,Odell,Andeee.Odell@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Mureil,Willie,Mureil.Willie@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Linet,Leler,Linet.Leler@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Jordan,Hamil,Jordan.Hamil@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Claudina,Norrie,Claudina.Norrie@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Romona,Bollay,Romona.Bollay@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Kaia,Vanni,Kaia.Vanni@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Georgetta,Goddard,Georgetta.Goddard@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Lynnea,Quinn,Lynnea.Quinn@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Rochette,Johanna,Rochette.Johanna@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Christal,Colbert,Christal.Colbert@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Alyssa,Darian,Alyssa.Darian@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Myrtice,Nahum,Myrtice.Nahum@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Yolane,Fry,Yolane.Fry@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Tami,Colp,Tami.Colp@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Aeriela,Tacye,Aeriela.Tacye@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Codie,Maples,Codie.Maples@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Dianemarie,Morrill,Dianemarie.Morrill@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Lenna,Linehan,Lenna.Linehan@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Almeta,Weinreb,Almeta.Weinreb@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Carlie,Gilbertson,Carlie.Gilbertson@FauxMail.com,Second Year,PlaceholderStudentImage.png,Approved
Augustine,Rad,Augustine.Rad@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
Sam,Anastatius,Sam.Anastatius@FauxMail.com,Second Year,PlaceholderStudentImage.png,Not aproved
